# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
       132   -1.9792893803e+01    4.9382377357e-01    8.2469567841e+03    8.2470000000e+03    7.5000000000e-01   -1.9793991027e+01    9.9284712981e-01    1.0000000000e+00
       133   -1.9788301668e+01    4.9947818197e-01    8.2498456065e+03    8.2500000000e+03    2.5000000000e-01   -1.9799948935e+01    9.9145805811e-01    9.9963636364e-01
       134   -1.9793841976e+01    4.7314656822e-01    8.2479293955e+03    8.2480000000e+03    5.0000000000e-01   -1.9795114346e+01    9.9304639305e-01    9.9963627546e-01
       135   -1.9800310615e+01    4.9328452988e-01    8.2489347040e+03    8.2490000000e+03    5.0000000000e-01   -1.9800775888e+01    9.9015707974e-01    9.9915141229e-01
       136   -1.9803522643e+01    4.6750585825e-01    8.2449284203e+03    8.2450000000e+03    5.0000000000e-01   -1.9806759503e+01    9.9317484052e-01    1.0000000000e+00
       137   -1.9801122419e+01    4.4089151944e-01    8.2458659841e+03    8.2460000000e+03    2.5000000000e-01   -1.9810092809e+01    9.9297847499e-01    9.9975745816e-01
       138   -1.9804535427e+01    4.5805189193e-01    8.2489206406e+03    8.2490000000e+03    5.0000000000e-01   -1.9808056332e+01    9.9158284233e-01    9.9975754637e-01
       139   -1.9807338679e+01    4.4454013516e-01    8.2529001734e+03    8.2530000000e+03    5.0000000000e-01   -1.9811954130e+01    9.9425794009e-01    9.9927299164e-01
       140   -1.9806420918e+01    4.3995319680e-01    8.2478777573e+03    8.2480000000e+03    5.0000000000e-01   -1.9814151357e+01    9.9335713692e-01    9.9975751697e-01
       141   -1.9804712233e+01    4.4584016283e-01    8.2508690239e+03    8.2510000000e+03    5.0000000000e-01   -1.9813597255e+01    9.9318005754e-01    9.9951521028e-01
       142   -1.9812247236e+01    5.0977667986e-01    8.2499516306e+03    8.2500000000e+03    5.0000000000e-01   -1.9811767365e+01    9.9396815166e-01    9.9951515152e-01
       143   -1.9808211486e+01    4.2056779524e-01    8.2478523294e+03    8.2480000000e+03    7.5000000000e-01   -1.9819059914e+01    9.9307298696e-01    9.9939379243e-01
       144   -1.9808170996e+01    4.4136758604e-01    8.2508842690e+03    8.2510000000e+03    5.0000000000e-01   -1.9815387823e+01    9.9184477507e-01    9.9915161799e-01
       145   -1.9807636194e+01    4.7282007490e-01    8.2468870159e+03    8.2470000000e+03    5.0000000000e-01   -1.9814862425e+01    9.9321052957e-01    9.9963623136e-01
       146   -1.9816179375e+01    7.7758503741e-01    8.2519493128e+03    8.2520000000e+03    2.5000000000e-01   -1.9814933721e+01    9.9134529733e-01    9.9975763451e-01
       147   -1.9812553974e+01    4.7321708203e-01    8.2528437535e+03    8.2530000000e+03    2.5000000000e-01   -1.9823598077e+01    9.9368176573e-01    9.9927299164e-01
       148   -1.9813148938e+01    4.7071905711e-01    8.2498930434e+03    8.2500000000e+03    5.0000000000e-01   -1.9819609106e+01    9.9365334194e-01    9.9987878788e-01
       149   -1.9813413374e+01    5.0288791590e-01    8.2518850052e+03    8.2520000000e+03    2.5000000000e-01   -1.9820446465e+01    9.9216065595e-01    9.9951526903e-01
       150   -1.9815607256e+01    5.4304227870e-01    8.2518990996e+03    8.2520000000e+03    7.5000000000e-01   -1.9820710901e+01    9.9169195077e-01    9.9975763451e-01
       151   -1.9821611761e+01    4.9374552547e-01    8.2529222930e+03    8.2530000000e+03    2.5000000000e-01   -1.9823025958e+01    9.9253350096e-01    9.9963649582e-01
       152   -1.9819375070e+01    4.5939580715e-01    8.2548577811e+03    8.2550000000e+03    7.5000000000e-01   -1.9829272770e+01    9.9189925943e-01    9.9963658389e-01
       153   -1.9823670412e+01    7.6477947612e-01    8.2549080272e+03    8.2550000000e+03    2.5000000000e-01   -1.9827036079e+01    9.9238297770e-01    9.9963658389e-01
       154   -1.9821020321e+01    4.6777981610e-01    8.2538493980e+03    8.2540000000e+03    5.0000000000e-01   -1.9831210275e+01    9.9159253942e-01    9.9939423310e-01
       155   -1.9822838397e+01    4.4141785120e-01    8.2558994265e+03    8.2560000000e+03    7.5000000000e-01   -1.9828802461e+01    9.9288432530e-01    9.9963662791e-01
       156   -1.9822032638e+01    5.3604123901e-01    8.2548672041e+03    8.2550000000e+03    5.0000000000e-01   -1.9830499406e+01    9.9386405275e-01    9.9963658389e-01
       157   -1.9827546176e+01    5.3261766270e-01    8.2549184339e+03    8.2550000000e+03    0.0000000000e+00   -1.9829693647e+01    9.9150865319e-01    9.9963658389e-01
       158   -1.9825910122e+01    4.6531798234e-01    8.2558552648e+03    8.2560000000e+03    7.5000000000e-01   -1.9835328316e+01    9.9281918311e-01    9.9963662791e-01
       159   -1.9819458821e+01    4.9296118895e-01    8.2558200155e+03    8.2560000000e+03    0.0000000000e+00   -1.9833692263e+01    9.9304453821e-01    9.9975775194e-01
       160   -1.9825790757e+01    5.6843327880e-01    8.2559194265e+03    8.2560000000e+03    2.5000000000e-01   -1.9827240962e+01    9.9443278177e-01    9.9963662791e-01
